"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.700718975E1,6.501208049E1,2.546786034E1,3.144675590E1,6.375117283E-1,4.267851975E1,4.628564044E0,3.521495694E0
9.800717604E1,6.501208920E1,2.546786932E1,3.149654026E1,6.716090110E-1,3.551877934E1,4.628339880E0,3.521790310E0
9.900716281E1,6.501209580E1,2.546788828E1,3.171378485E1,7.814420943E-1,3.803998305E1,4.626951566E0,3.523614088E0
1.000071476E2,6.501210353E1,2.546790211E1,3.199240538E1,8.189383368E-1,3.940087369E1,4.640062646E0,3.506330799E0
1.010071349E2,6.501211591E1,2.546792339E1,3.324634494E1,9.520103376E-1,3.456328118E1,4.650345705E0,3.492681184E0
1.020071223E2,6.501212790E1,2.546793876E1,3.332859212E1,1.168913571E0,3.320537601E1,4.670364062E0,3.465867361E0
1.030071096E2,6.501214445E1,2.546795688E1,3.368432494E1,1.220731786E0,3.140686607E1,4.671627442E0,3.464164268E0
1.040070974E2,6.501215775E1,2.546797899E1,3.366275255E1,1.302068961E0,3.081588124E1,4.659239158E0,3.480808456E0
1.050070847E2,6.501216234E1,2.546798268E1,3.360892581E1,9.197918506E-1,2.710309208E1,4.661316978E0,3.478025454E0
1.060070769E2,6.501216196E1,2.546799581E1,3.346932394E1,5.583571005E-1,3.957431088E1,4.660985222E0,3.478470036E0
1.070070606E2,6.501217371E1,2.546801595E1,3.400772711E1,8.727819891E-1,3.447570442E1,4.653614342E0,3.488324897E0
1.080070509E2,6.501218694E1,2.546804871E1,3.429594077E1,1.246823775E0,3.745262362E1,4.648672373E0,3.494908038E0
1.090070390E2,6.501219420E1,2.546806926E1,3.499075470E1,9.562165210E-1,4.234816038E1,4.648169203E0,3.495577219E0
1.100070291E2,6.501220750E1,2.546808078E1,3.536888011E1,9.000131602E-1,3.942512675E1,4.649042226E0,3.494416033E0
1.110070189E2,6.501222159E1,2.546808728E1,3.565460004E1,9.052842017E-1,3.568665568E1,4.647309756E0,3.496719757E0
1.120070074E2,6.501223483E1,2.546809747E1,3.558574081E1,9.356350051E-1,3.824563828E1,4.649322926E0,3.494042553E0
1.130069975E2,6.501224580E1,2.546810564E1,3.583306030E1,9.212231074E-1,3.479284294E1,4.641463058E0,3.504476811E0
1.140069875E2,6.501225808E1,2.546811812E1,3.575245947E1,1.089091053E0,3.375127025E1,4.638649251E0,3.508200416E0
1.150069777E2,6.501226748E1,2.546812793E1,3.566530300E1,1.080078265E0,3.346182451E1,4.615974334E0,3.537982191E0
1.160069938E2,6.501227441E1,2.546813638E1,3.557387938E1,9.600330835E-1,3.384739636E1,4.619057396E0,3.533956112E0
1.170069573E2,6.501228618E1,2.546815076E1,3.573123406E1,1.041570203E0,3.526862929E1,4.616588209E0,3.537181129E0
1.180069492E2,6.501229274E1,2.546816611E1,3.547770242E1,9.750357100E-1,4.751152648E1,4.627471738E0,3.522930931E0
1.190069392E2,6.501229957E1,2.546817169E1,3.599203636E1,7.377063829E-1,4.126902424E1,4.635657534E0,3.512152654E0
1.200069606E2,6.501230014E1,2.546816897E1,3.623114120E1,2.624615216E-1,3.125174405E1,4.642529069E0,3.503064497E0
1.210069215E2,6.501229480E1,2.546818925E1,3.660810389E1,1.595245618E-1,3.125175923E1,4.652414081E0,3.489925537E0
1.220069114E2,6.501229297E1,2.546820943E1,3.746776689E1,1.649153320E-1,3.125177491E1,4.650734583E0,3.492163352E0
1.230069022E2,6.501230257E1,2.546823532E1,3.836939938E1,5.063298865E-1,6.610350791E1,4.648491057E0,3.495149199E0
1.240068953E2,6.501229121E1,2.546824259E1,3.815543882E1,7.296617046E-1,1.394683462E2,4.656950366E0,3.483870021E0
1.250068855E2,6.501230042E1,2.546825708E1,3.892499140E1,5.510056420E-1,1.154620981E2,4.653515956E0,3.488456146E0
1.260068753E2,6.501229276E1,2.546828723E1,4.005152710E1,9.363460443E-1,1.312536802E2,4.663059003E0,3.475689538E0
1.270068676E2,6.501228942E1,2.546830771E1,4.123638750E1,9.757597372E-1,1.348999563E2,4.660573122E0,3.479022162E0
1.280068616E2,6.501228519E1,2.546831467E1,4.181662186E1,4.251296321E-1,1.324173712E2,4.659962480E0,3.479840042E0
1.290068507E2,6.501228385E1,2.546832277E1,4.252568628E1,1.976943141E-1,1.411254605E2,4.662707529E0,3.476161034E0
