"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.262265250E0,-9.762598231E-1,-1.546035978E-1,3.457924054E0
1.272313250E0,-5.384168798E-1,1.211467069E-1,2.926941909E0
1.282360250E0,6.211964965E-2,3.807282910E-1,2.415767791E0
1.292407250E0,3.958480943E-1,5.412752911E-1,2.001825269E0
1.302454250E0,4.644840273E-1,4.173590505E-1,1.542180324E0
1.312501250E0,5.081111265E-1,1.237153888E-1,6.873214889E-1
1.322548250E0,4.607901219E-1,-9.648782909E-2,-8.157216668E-2
1.332595250E0,2.342987352E-1,-2.147173601E-1,-3.705965281E-1
1.342642250E0,6.522196300E-2,-5.175239012E-1,-4.165772778E-1
1.352689250E0,1.527889144E-1,-6.206234694E-1,-6.996550208E-1
1.362736250E0,1.029816006E-1,-8.606312066E-1,-1.263141838E0
1.372783250E0,-1.997150128E-1,-1.182402315E0,-1.262701542E0
1.382830250E0,-6.491137353E-1,-1.428596698E0,-8.285130358E-1
1.392877250E0,-1.021048837E0,-1.504938823E0,-7.887373513E-1
1.402924250E0,-1.146534470E0,-1.561672895E0,-9.196372139E-1
1.412972250E0,-1.083522536E0,-1.482533170E0,-1.060422964E0
1.423019250E0,-7.885657355E-1,-1.341390447E0,-1.430423076E0
1.433066250E0,-3.135008061E-1,-1.166200849E0,-1.713113734E0
1.443113708E0,1.127541983E-1,-8.909572059E-1,-2.806323790E0
1.453160708E0,5.424862495E-1,-9.198529762E-1,-1.517762936E0
1.463207708E0,2.721884733E-1,-6.328494126E-1,-4.526908511E-1
1.473254708E0,-2.980081697E-1,-4.712832427E-1,1.461219192E-1
1.483301708E0,-4.424055988E-1,-4.977296144E-1,6.186196285E-1
1.493348708E0,-5.205438419E-1,-4.762662399E-1,8.469960845E-1
1.503395708E0,-5.256209792E-1,-4.674962935E-1,5.682177991E-1
1.513442708E0,-3.643455622E-1,-3.013678336E-1,4.794015169E-2
1.523489708E0,-1.089878605E-1,-4.558021545E-2,-7.931748033E-3
1.533537708E0,-1.065273522E-1,1.760120085E-1,1.102083206E-1
1.543584708E0,1.521243784E-1,1.708439469E-1,-7.149390578E-2
1.553631708E0,4.202689174E-1,1.815352884E-1,-2.482944113E-1
1.563678708E0,4.285893591E-1,3.196108541E-1,-1.832996857E-1
1.573725708E0,3.309727250E-1,3.333754921E-1,-1.714041102E-1
1.583772708E0,3.447978817E-1,2.527312785E-1,-3.524444318E-1
